mesa_name,driver_point_name,topic_prefix,scale_factor,offset,unit,rpc_attempts,rpc_wait,max_data_age,buffer_length
AHRtg,AHRtg,ScottPark/BESS/BankController,1,0,Ah,5,,,
WHRtg,WHRtg,ScottPark/BESS/BankController,1,0,Wh,5,,,
WChaRteMax,WChaRteMax,ScottPark/BESS/BankController,1,0,W,5,,,
WDisChaRteMax,WDisChaRteMax,ScottPark/BESS/BankController,1,0,W,5,,,
DisChaRte,DisChaRte,ScottPark/BESS/BankController,1,0,%WHRtg,5,,,
SoCMax,SoCMax,ScottPark/BESS/BankController,1,0,%WHRtg,5,,,
SoCMin,SoCMin,ScottPark/BESS/BankController,1,0,%WHRtg,5,,,
SocRsvMax,SocRsvMax,ScottPark/BESS/BankController,1,0,%WHRtg,5,,,
SoCRsvMin,SoCRsvMin,ScottPark/BESS/BankController,1,0,%WHRtg,5,,,
SoC,SoC,ScottPark/BESS/BankController,1,0,%WHRtg,5,,,
DoD,DoD,ScottPark/BESS/BankController,1,0,%,5,,,
SoH,SoH,ScottPark/BESS/BankController,1,0,%,5,,,
NCyc,NCyc,ScottPark/BESS/BankController,1,0,"",5,,,
ChaSt,ChaSt,ScottPark/BESS/BankController,1,0,"",5,,,
LocRemCtl,LocRemCtl,ScottPark/BESS/BankController,1,0,"",5,,,
Hb,Hb,ScottPark/BESS/BankController,1,0,"",5,,,
CtrlHb,CtrlHb,ScottPark/BESS/BankController,1,0,"",5,,,
AlmRst,AlmRst,ScottPark/BESS/BankController,1,0,"",5,,,
Typ,Typ,ScottPark/BESS/BankController,1,0,"",5,,,
State,State,ScottPark/BESS/BankController,1,0,"",5,,,
WarrDt,WarrDt,ScottPark/BESS/BankController,1,0,"",5,,,
Evt1,Evt1,ScottPark/BESS/BankController,1,0,"",5,,,
Evt2,Evt2,ScottPark/BESS/BankController,1,0,,5,,,
EvtVnd1,EvtVnd1,ScottPark/BESS/BankController,1,0,,5,,,
EvtVnd2,EvtVnd2,ScottPark/BESS/BankController,1,0,,5,,,
V,V,ScottPark/BESS/BankController,1,0,V,5,,,
VMax,VMax,ScottPark/BESS/BankController,1,0,V,5,,,
VMin,VMin,ScottPark/BESS/BankController,1,0,V,5,,,
CellVMax,CellVMax,ScottPark/BESS/BankController,1,0,V,5,,,
CellVMaxStr,CellVMaxStr,ScottPark/BESS/BankController,1,0,,5,,,
CellVMaxMod,CellVMaxMod,ScottPark/BESS/BankController,1,0,,5,,,
CellVMin,CellVMin,ScottPark/BESS/BankController,1,0,V,5,,,
CellVMinStr,CellVMinStr,ScottPark/BESS/BankController,1,0,,5,,,
CellVMinMod,CellVMinMod,ScottPark/BESS/BankController,1,0,,5,,,
CellVAvg,CellVAvg,ScottPark/BESS/BankController,1,0,V,5,,,
A,A,ScottPark/BESS/BankController,1,0,A,5,,,
AChaMax,AChaMax,ScottPark/BESS/BankController,1,0,A,5,,,
ADisChaMax,ADisChaMax,ScottPark/BESS/BankController,1,0,A,5,,,
W,W,ScottPark/BESS/BankController,1,0,W,5,,,
ReqInvState,ReqInvState,ScottPark/BESS/BankController,1,0,,5,,,
ReqW,ReqW,ScottPark/BESS/BankController,1,0,W,5,,,
SetOp,SetOp,ScottPark/BESS/BankController,1,0,,5,,,
SetInvState,SetInvState,ScottPark/BESS/BankController,1,0,,5,,,
AHRtg_SF,AHRtg_SF,ScottPark/BESS/BankController,1,0,,5,,,
WHRtg_SF,WHRtg_SF,ScottPark/BESS/BankController,1,0,,5,,,
WChaDisChaMax_SF,WChaDisChaMax_SF,ScottPark/BESS/BankController,1,0,,5,,,
DisChaRte_SF,DisChaRte_SF,ScottPark/BESS/BankController,1,0,,5,,,
SoC_SF,SoC_SF,ScottPark/BESS/BankController,1,0,,5,,,
DoD_SF,DoD_SF,ScottPark/BESS/BankController,1,0,,5,,,
SoH_SF,SoH_SF,ScottPark/BESS/BankController,1,0,,5,,,
V_SF,V_SF,ScottPark/BESS/BankController,1,0,,5,,,
CellV_SF,CellV_SF,ScottPark/BESS/BankController,1,0,,5,,,
A_SF,A_SF,ScottPark/BESS/BankController,1,0,,5,,,
AMax_SF,AMax_SF,ScottPark/BESS/BankController,1,0,,5,,,
W_SF,W_SF,ScottPark/BESS/BankController,1,0,,5,,,
